catalognumber	locality	dbpk
EMEC1080197	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080197
EMEC1080198	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080198
EMEC1080199	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080199
EMEC1080200	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080200
EMEC1080201	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080201
EMEC1080202	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080202
EMEC1080203	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080203
EMEC1080204	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080204
EMEC1080205	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080205
EMEC1080206	Hat Creek Post Office	urn:catalog:EMEC:EMEC:1080206
EMEC1080256	McCloud Flat	urn:catalog:EMEC:EMEC:1080256
EMEC1080257	McCloud Flat	urn:catalog:EMEC:EMEC:1080257
EMEC1080258	McCloud Flat	urn:catalog:EMEC:EMEC:1080258
EMEC1080259	McCloud Flat	urn:catalog:EMEC:EMEC:1080259
EMEC1080260	McCloud Flat	urn:catalog:EMEC:EMEC:1080260
EMEC1080261	McCloud Flat	urn:catalog:EMEC:EMEC:1080261
EMEC1080262	McCloud Flat	urn:catalog:EMEC:EMEC:1080262
EMEC1080263	McCloud Flat	urn:catalog:EMEC:EMEC:1080263
EMEC1080264	McCloud Flat	urn:catalog:EMEC:EMEC:1080264
EMEC1080265	McCloud Flat	urn:catalog:EMEC:EMEC:1080265
EMEC203304	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203304
EMEC203305	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203305
EMEC203306	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203306
EMEC203307	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203307
EMEC203308	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203308
EMEC203309	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203309
EMEC203310	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203310
EMEC203311	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203311
EMEC203312	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203312
EMEC203313	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203313
EMEC203314	Eureka Valley, sand dunes	urn:catalog:EMEC:EMEC:203314
EMEC203315	Saline Valley	urn:catalog:EMEC:EMEC:203315
EMEC203316	Saline Valley	urn:catalog:EMEC:EMEC:203316
EMEC203317	Saline Valley	urn:catalog:EMEC:EMEC:203317
EMEC203318	Saline Valley	urn:catalog:EMEC:EMEC:203318
EMEC203319	Kelso Dunes	urn:catalog:EMEC:EMEC:203319
EMEC203320	Victorville	urn:catalog:EMEC:EMEC:203320
EMEC203321	Kramer Junction, 6 miles south of	urn:catalog:EMEC:EMEC:203321
EMEC203322	Goldstone Lake	urn:catalog:EMEC:EMEC:203322
EMEC203323	Essex, 2 miles north of	urn:catalog:EMEC:EMEC:203323
EMEC203324	Kelso Dunes	urn:catalog:EMEC:EMEC:203324
EMEC203325	Kelso Dunes	urn:catalog:EMEC:EMEC:203325
EMEC203326	Kelso Dunes	urn:catalog:EMEC:EMEC:203326
EMEC203327	Kelso Dunes	urn:catalog:EMEC:EMEC:203327
EMEC203328	Goldstone Lake	urn:catalog:EMEC:EMEC:203328
EMEC203329	Goldstone Lake	urn:catalog:EMEC:EMEC:203329
EMEC203330	Goldstone Lake	urn:catalog:EMEC:EMEC:203330
EMEC203331	Goldstone Lake	urn:catalog:EMEC:EMEC:203331
EMEC203332	Goldstone Lake	urn:catalog:EMEC:EMEC:203332
EMEC203333	Goldstone Lake	urn:catalog:EMEC:EMEC:203333
EMEC203334	Goldstone Lake	urn:catalog:EMEC:EMEC:203334
EMEC203335	Goldstone Lake	urn:catalog:EMEC:EMEC:203335
EMEC203336	Inyokern	urn:catalog:EMEC:EMEC:203336
EMEC203337	Inyokern	urn:catalog:EMEC:EMEC:203337
EMEC203338	Inyokern	urn:catalog:EMEC:EMEC:203338
EMEC203339	Inyokern	urn:catalog:EMEC:EMEC:203339
EMEC203340	Inyokern	urn:catalog:EMEC:EMEC:203340
EMEC203341	Inyokern	urn:catalog:EMEC:EMEC:203341
EMEC203342	Victorville	urn:catalog:EMEC:EMEC:203342
EMEC203343	Victorville	urn:catalog:EMEC:EMEC:203343
EMEC250849	Jesus Maria	urn:catalog:EMEC:EMEC:250849
EMEC250852	Est. Biol. Chamela	urn:catalog:EMEC:EMEC:250852
EMEC250854	24 km S Tamazulapan	urn:catalog:EMEC:EMEC:250854
EMEC250855	24 km S Tamazulapan	urn:catalog:EMEC:EMEC:250855
EMEC250856	15 km E Mitla	urn:catalog:EMEC:EMEC:250856
