concat_scientificName	unique_geo
 stramonifolium	1
"leucoclaena" hipparis	1
"leucoclaina" hipparis	1
"linyphia" rita	1
'Acmaea' rudis	1
'Actinopteria' UNKNOWN_NULL	1
'Aviculopecten' UNKNOWN_NULL	1
'Buccinanops' ellipticum	1
'Bullia' altilis	1
'Caritodens' UNKNOWN_NULL	1
'Chloephycus' 'plumosum'	1
'Deceptrix' UNKNOWN_NULL	1
'Ladatheca' cylindrica	1
'Leda' alaeformis	1
'Molopophorus' biplicatus	1
'Nuculoidea' UNKNOWN_NULL	1
'Palaeoneilo' UNKNOWN_NULL	1
'Protaspis A' UNKNOWN_NULL	1
'Protorthis' vermontensis	1
'Pterinea' UNKNOWN_NULL	1
'Turritella' aldrichi	1
'Turritella' multilira	1
'Turritella' nasuta	1
'Turritella' saffordi	1
(Apidae) (indet)	1
(campoplegini) UNKNOWN_NULL	1
(Can't read starts with H) uniformis	1
(Cardiochilinae) (indet)	1
(Cryptinae) (indet)	1
(Cyathophyllum multigemmatum	1
(Cynipidae) (indet)	1
(Diapriidae) (indet)	1
(Eurytomidae) (indet)	1
(Fenestella UNKNOWN_NULL	1
(Figitidae) (indet)	1
(Pompilidae) (indet)	1
(Proctotrupidae) (indet)	1
(Saphenista) UNKNOWN_NULL	1
(Tenthredinidae) (indet)	1
1. Apatemon/2. Eudocimus albus	1
1.Dirofilaria, 2.Brugia 1. tenuis, 2. beaveri	1
1.Rhopalias, 2.Proalaria 1. macracanthus, 2. variabilis	1
2 UNKNOWN_NULL	1
3 UNKNOWN_NULL	1
4 UNKNOWN_NULL	1
5 UNKNOWN_NULL	1
? ?	1
? Euphoberia UNKNOWN_NULL	1
? Hoploparia UNKNOWN_NULL	1
? UNKNOWN_NULL	1
?Anomalocaris 'Appendage F'	1
?Caenoscelis UNKNOWN_NULL	1
?Concavicaris UNKNOWN_NULL	1
?Euphoberia UNKNOWN_NULL	1
?Eurypterus UNKNOWN_NULL	1
?Ischyropalpus sp1	1
?Lampronia new	1
?Phragmoceras UNKNOWN_NULL	1
?Pseudohylesinus sp1	1
Aalictus confusus	1
Abacena plumbealis	1
Abacetus pubescens	1
Abachrysa eureka	1
Abacidus atratus	1
Abacidus hamiltoni	1
Abacidus permundus	1
Abacidus sculptus	1
Abacion lacterium	1
Abagesta concha	1
Abagesta reluctalis	1
Abagrotis Abagrotis bimarginalis	1
Abagrotis Abagrotis crumbi	1
Abagrotis Abagrotis petalama	1
Abagrotis Abagrotis sp.	1
Abagrotis belfragei	1
Abagrotis crumbi	1
Abagrotis cryptica	1
Abagrotis cupida	1
Abagrotis kirkwoodi	1
Abagrotis magnicupida	1
Abagrotis rubricundis	1
Abagrotis sp. undet. 1	1
Abagrotis turbulenta	1
Abana arnetti	1
Abapeba cleonei	1
Abaris aequinoctialis	1
Abaris UNKNOWN_NULL	1
Abaristophora UNKNOWN_NULL	1
Abax parallelepipedus	1
Abedus decarloi	1
Abedus stangei	1
Abegesta concha	1
Abegesta reluctalis	1
Abgrallaspis coloratus	1
Abgrallaspis liriodendri	1
Abgrallaspis mendax	1
Abia fasciata	1
Ablabesmyia parajanta	1
Ablabesmyia philosphagnos	1
Ablabesmyia pulchripennis	1
Ablautus californicus	1
Ablautus coquilletti	1
Ablautus flavipes	1
Ablautus mimus	1
Ablaxia cupraeus	1
Ablechrus texensis	1
Ablechrus UNKNOWN_NULL	1
Ablerus UNKNOWN_NULL	1
Abolloptera bistriata	1
Abracris flavolineata	1
Abraeomorphus atomarius	1
Abraeomorphus UNKNOWN_NULL	1
Abraeus maritimus	1
Abrostola Abrostola ovalis	1
Abrostola microvalis	1
Abstrusomyzus valuliae	1
Absyrtus arealis	1
Absyrtus paniscoides	1
Absyrtus perilissoides	1
Absyrtus UNKNOWN_NULL	1
Abutiloneus idoneus	1
Acacesia cornigera	1
Acadoparadoxides harlani	1
Acalles basalis	1
Acalles clathratus	1
Acalles clavatus	1
Acalles crassulus	1
Acalles hubbardi	1
Acalles indigens	1
Acalles inflatus	1
Acalles longulus	1
Acalles minimus	1
Acalles minutissimus	1
Acalles nobilis	1
Acalles nuchalis	1
Acalles pectoralis	1
Acalles porosus	1
Acalles sablensis	1
Acalles sordidus	1
Acalles subhispidus	1
Acalles sulcicollis	1
Acalles sylvosus	1
Acalles turbidus	1
Acalles ventrosus	1
Acallodes lysimachiae	1
Acallodes ventricosus	1
Acalophaena compacta	1
Acalophaena UNKNOWN_NULL	1
Acalpytris bicornutus	1
Acalpytris lotella	1
Acalymma gouldi	1
Acalymma hirsuta	1
Acalymma vinctum	1
Acalymna palomarense	1
Acalypta barberi	1
Acalypta lillianus	1
Acalypta thomsonii	1
Acalypta UNKNOWN_NULL	1
Acalyptus UNKNOWN_NULL	1
Acambus pterophori	1
Acamptus rigidus	1
Acanalonia brevifrons	1
Acanalonia decens	1
Acanalonia excavata	1
Acanalonia saltonia	1
Acanalonia tehuacana	1
Acanalonia tripartita	1
Acanalonia viriditerminata	1
Acanosema caudatum	1
Acanosema UNKNOWN_NULL	1
Acanthacaris UNKNOWN_NULL	1
Acanthacoris scaber	1
Acanthaxius hirsutimanus	1
Acanthephyra armata	1
Acanthephyra brevicarinata	1
Acanthephyra brevirostris	1
Acanthephyra sibogae	1
Acanthephyra smithi	1
Acanthephyra stylorostratis	1
Acantherpestes major	1
Acantherpestes UNKNOWN_NULL	1
Acanthetropis noctivaga	1
Acanthetropis normalis	1
Acanthetropis UNKNOWN_NULL	1
Acanthhoscelides seminulum	1
Acanthina angelica	1
Acanthinomyia pulchella	1
Acanthinucella paucilirata	1
Acanthinucella punctulata	1
Acanthinus cristatus	1
Acanthinus foveiventris	1
Acanthinus krausii	1
Acanthinus striatopunctatus	1
Acanthobolbina loeblichi	1
Acanthobothrium UNKNOWN_NULL	1
Acanthocaris stimpsoni	1
Acanthocarpus bispinosus	1
Acanthocarpus UNKNOWN_NULL	1
Acanthocaudus schlingeri	1
Acanthocaudus tissoti	1
Acanthocephala declivis var. panamensis	1
Acanthochiton spioulosa	1
Acanthocinus Acanthocinus princeps	1
Acanthocinus angulosus	1
Acanthocinus princeps	1
Acanthocinus spectabilis	1
Acanthocinus UNKNOWN_NULL	1
Acanthocnema albibarba	1
Acanthocnema capillata	1
Acanthococcus araucariae	1
Acanthoctenus spinipes	1
Acanthoctenus UNKNOWN_NULL	1
Acanthoctoca graefi	1
Acanthocyclops venustus	1
Acanthodelphax analis	1
Acanthodelta janata	1
Acanthoderes funeraria	1
Acanthoderes morrisii	1
Acanthoderes quadrigibbus	1
Acanthoderes UNKNOWN_NULL	1
Acanthoderus peninsularis	1
Acanthodoris UNKNOWN_NULL	1
Acanthoflata salina	1
Acanthognathus (indet)	1
Acanthograptus UNKNOWN_NULL	1
Acantholeria UNKNOWN_NULL	1
Acantholobulus pacificus	1
Acantholyda aequorea	1
Acantholyda balanata	1
Acantholyda bucephala	1
Acantholyda maculiventris	1
Acantholyda runcinata	1
Acanthomyops colei	1
Acanthonotozoma inflatum	1
Acanthonotozoma UNKNOWN_NULL	1
Acanthonycha UNKNOWN_NULL	1
Acanthoparypha chiropyga	1
Acanthophorides labidophilus	1
Acanthophotopsis bequaertii	1
Acanthophotopsis bifurca	1
Acanthophotopsis evansi	1
Acanthophotopsis evansii	1
Acanthophrynus coronatus	1
Acanthops godmani	1
Acanthoscelides aequalis	1
Acanthoscelides alboscutellatus	1
Acanthoscelides aureolus	1
Acanthoscelides baboquivari	1
Acanthoscelides calvus	1
Acanthoscelides chiricahuae	1
Acanthoscelides compressicornis	1
Acanthoscelides desmoditus	1
Acanthoscelides distinguendus	1
Acanthoscelides fumatus	1
Acanthoscelides helianthemum	1
Acanthoscelides helianthemus	1
Acanthoscelides jardin	1
Acanthoscelides lobatus	1
Acanthoscelides longistilus	1
Acanthoscelides mankinsi	1
Acanthoscelides oblongoguttatus	1
Acanthoscelides obrienorum	1
Acanthoscelides pallidipennis	1
Acanthoscelides pauperculus	1
Acanthoscelides pedicularius	1
Acanthoscelides perforatus	1
Acanthoscelides pertinax	1
Acanthoscelides puellus	1
Acanthoscelides schrankiae	1
Acanthoscelides seminulum	1
Acanthoscelides sp1	1
Acanthoscelides submuticus	1
Acanthoscelides tenuis	1
Acanthoscelides tepic	1
Acanthoscelides triumfettae	1
Acanthoscelides zeteki	1
Acanthoscelidius acephalus	1
Acanthoscelidius curtus	1
Acanthoscelidius frontalis	1
Acanthoscelidius ilex	1
Acanthoscelidius mendicus	1
Acanthoscelidius perplexus	1
Acanthoscelidius tarsalis	1
Acanthoscelidius UNKNOWN_NULL	1
Acanthoscelis californicus	1
Acanthoscelis griseus	1
