concat_scientificName	unique_geo
Acizzia jamatonica	1
Aclerda andropogonis	1
Aclerda arizonica	1
Aclerda arundinariae	1
Aclerda attenuata	1
Aclerda laeliae	1
Aclerda tillandsiae	1
Aclerda tokionis	1
Acleris Acleris bowmanana	1
Acleris Acleris celiana	1
Acleris Acleris cervinana	1
Acleris Acleris cornana	1
Acleris Acleris emargana	1
Acleris Acleris fragariana	1
Acleris Acleris fuscana	1
Acleris Acleris implexana	1
Acleris Acleris macdunnoughi	1
Acleris Acleris minuta	1
Acleris Acleris oxycoccana	1
Acleris Acleris paracinderella	1
Acleris Acleris robinsoniana	1
Acleris Acleris semiannula	1
Acleris caliginosana	1
Acleris celiana	1
Acleris flavivittana	1
Acleris foliana	1
Acleris forsskaleana	1
Acleris gloveranus	1
Acleris holmiana	1
Acleris maximana	1
Acleris ptychogrammos	1
Acleris schalleriana	1
Acleris sp. undet. 1	1
Acleris youngana	1
Aclybea bituberosa	1
Aclypea bituberosa	1
Acmaea mitra	1
Acmaea ochracea	1
Acmaea paleacea	1
Acmaea patina	1
Acmaea UNKNOWN_NULL	1
Acmaeodera Acmaeodera immaculata	1
Acmaeodera auritincta	1
Acmaeodera bowditchi	1
Acmaeodera cribicollis	1
Acmaeodera cuneata	1
Acmaeodera flavosticta	1
Acmaeodera immaculata	1
Acmaeodera latiflava	1
Acmaeodera lupinae	1
Acmaeodera mariposa	1
Acmaeodera perlanosa	1
Acmaeodera pinalorum	1
Acmaeodera quadrivitatoides	1
Acmaeodera quadrivittatoides	1
Acmaeodera robusta	1
Acmaeodera sp1	1
Acmaeodera sp2	1
Acmaeodera sp3	1
Acmaeoderopsis rockefelleri	1
Acmaeops UNKNOWN_NULL	1
Acmarhachis acutus	1
Acmopolynema UNKNOWN_NULL	1
Acocoelidia unipuncta	1
Acoenonia perissa	1
Acoenonia UNKNOWN_NULL	1
Acolobicus UNKNOWN_NULL	1
Acoloithus novaricus	1
Acoma gibsoni	1
Acoma knulli	1
Acoma mixta	1
Acoma parva	1
Acoma rufula	1
Aconobius nigripes	1
Aconophora marginata	1
Acontia Acontia arida	1
Acontia Acontia cretata	1
Acontia Acontia sp.	1
Acontia arida	1
Acontia behrii	1
Acontia bilimeki	1
Acontia dacia	1
Acontia tenuicula	1
Acontista UNKNOWN_NULL	1
Acontistoptera brasiliensis	1
Acontistoptera melanderi	1
Acotyledon UNKNOWN_NULL	1
Acrenhydrosoma karlingi	1
Acrepyris atrus	1
Acri001 UNKNOWN_NULL	1
Acri002 UNKNOWN_NULL	1
Acri003 UNKNOWN_NULL	1
Acri004 UNKNOWN_NULL	1
Acri005 UNKNOWN_NULL	1
Acri006 UNKNOWN_NULL	1
Acri008 UNKNOWN_NULL	1
Acri009 UNKNOWN_NULL	1
Acri010 UNKNOWN_NULL	1
Acri011 UNKNOWN_NULL	1
Acricotopus nitidellus	1
Acricotopus UNKNOWN_NULL	1
Acritus attaphilus	1
Acritus fimetarius	1
Acritus strigosus	1
Acrobasis caryae	1
