InstitutionCode	family	count(*)
USNM	Circocyllibanidae	1
MCZ	Cirolanidae	181
TAMU	Cixiidae	1010
KU	Clambidae	69
TAMU	Clastopteridae	46
USNM	Clausidiidae	5
USNM	Clausiidae	1
USNM	Clausocalanidae	2
FMNH	Cleidogonidae	70
TTU	Cleridae	227
DMNS	Clubionidae	25
CSCA	Coccidae	75
OSU	Coccinellidae	868
TTU	Coenagrionidae	2540
MCZ	Coenobitidae	38
EMEC	Coleophoridae	17
OSU	Colletidae	2648
USNM	Colomastigidae	10
KU	Colydiidae	89
CSCA	Conchaspididae	2
OMNH	Conidae	28
USNM	Coniopterygidae	3
FMNH	Conopidae	16
MCZ	Conotylidae	1
EMEC	Copromorphidae	1
USNM	Corallanidae	38
iNaturalist	Cordulegastridae	15
NMSU	Coreidae	6217
AMNH	Corimelaenidae	28
DMNS	Corinnidae	246
NMSU	Corixidae	4622
USNM	Coronididae	1
USNM	Coronulidae	1
USNM	Corophiidae	35
USNM	Corycaeidae	5
NMSU	Corydalidae	133
FMNH	Corydiidae	14
UTC	Corylophidae	363
UNM	Cosmetidae	67
EMEC	Cosmopterigidae	2
YPM	Cossidae	42
ASU	Crabronidae	4891
MOD_DMNS	Crambidae	289
MCZ	Crangonidae	23
USNM	Cryptochiridae	1
FMNH	Cryptodesmidae	20
KU	Cryptophagidae	386
USNM	Cryptophialidae	1
UNM	Cryptopidae	14
NMSU	Ctenidae	45
GBIF	Ctenizidae	4
OSU	Cucujidae	21
UNM	Culicidae	105
ASU	Curculionidae	12427
TTU	Cuterebridae	1
UNM	Cybaeidae	1
USNM	Cybocephalidae	3
USNM	Cyclodorippidae	6
USNM	Cyclopidae	101
USNM	Cyclopinidae	1
NMSU	Cydnidae	1252
USNM	Cylindroleberididae	18
TAMU	Cymidae	15
MCZ	Cymopoliidae	2
USNM	Cymothoidae	74
OSU	Cynipidae	177
OMNH	Cypraeidae	1
USNM	Cyprididae	2
USNM	Cypridinidae	8
FMNH	Cyrtaucheniidae	5
MCZ	Cyrtodesmidae	2
USNM	Cystisomatidae	2
USNM	Cytherellidae	2
USNM	Cytheridae	1
USNM	Cytherideidae	8
USNM	Cytheromatidae	2
USNM	Cytheruridae	9
USNM	Cyzicidae	1
UMAM	Dactylopiidae	11
USNM	Dajidae	13
FMNH	Dalceridae	3
USNM	Daphniidae	1
USNM	Darcythompsoniidae	6
TTU	Dascillidae	39
USNM	Deeveyidae	5
iNaturalist	Deinopidae	11
UNM	Delphacidae	1494
iNaturalist	Demodicidae	1
USNM	Dendrogastridae	1
iNaturalist	Depressariidae	56
TAMU	Derbidae	358
TTU	Dermanyssidae	10
OSU	Dermestidae	95
TAMU	Diapheromeridae	60
OSU	Diapriidae	1304
USNM	Diaptomidae	53
UMAM	Diaspididae	355
USNM	Diastylidae	4
TTU	Dicrocoeliidae	2
DMNS	Dictynidae	81
TAMU	Dictyopharidae	160
NMSU	Diguetidae	15
MCZ	Diogenidae	165
FMNH	Dioptidae	3
UNM	Diplocentridae	34
UNM	Dipluridae	31
OSU	Diprionidae	10
FMNH	Dipsocoridae	4
USNM	Dirivultidae	90
MSU	Doidae	2
OSU	Dolichopodidae	441
MCZ	Dorippidae	1
iNaturalist	Dotillidae	1
EMEC	Douglasiidae	1
MCZ	Dromiidae	5
MCZ	Drosophilidae	58
OSU	Dryinidae	10
NAUF	Dryophthoridae	92
TTU	Dryopidae	1152
IBUNAM	Dysderidae	14
NAUF	Dytiscidae	1951
USNM	Ecbathyriontidae	1
TTU	Echinostomatidae	2
USNM	Ectinosomatidae	2
FMNH	Ectobiidae	15
UNM	Elateridae	2474
MCZ	Eleotrididae	2
KU	Elmidae	2798
OSU	Empididae	21
OSU	Encyrtidae	2511
USNM	Endeidae	4
EMEC	Enderleinellidae	11
USNM	Endevouridae	1
OSU	Endomychidae	205
MCZ	Engraulididae	5
ANSP	Enicocephalidae	3
USNM	Entobiidae	3
USNM	Entocytheridae	7
MCZ	Entomobryidae	89
USNM	Epacteriscidae	2
MCZ	Ephippididae	1
UA	Ephydridae	10
KU	Epimetopidae	50
TAMU	Epipygidae	1
INHS	Episactidae	4
MOD_DMNS	Erebidae	1425
USNM	Erebonasteridae	5
NMSU	Eremobatidae	59
USNM	Ergasilidae	2
CSCA	Eriococcidae	1
UA	Erirhinidae	2
UTC	Erotylidae	204
MCZ	Erythraeidae	4
USNM	Ethusidae	2
USNM	Eucalanidae	9
USNM	Euchaetidae	24
OSU	Eucharitidae	9
KU	Eucinetidae	22
OSU	Eucnemidae	25
USNM	Eucoilidae	2
MCZ	Eucopiidae	1
iNaturalist	Euctenizidae	1
USNM	Eudactylinidae	4
USNM	Eugonatonotidae	1
MCZ	Eukoeneniidae	2
TAMU	Eulophidae	3597
UA	Eumastacidae	1
USNM	Eumenidae	1
MSU	Eupelmidae	4
MCZ	Euphausiidae	80
USNM	Eupterotidae	1
USNM	Eurycopidae	2
USNM	Euryphoridae	12
USNM	Eurysquillidae	8
OSU	Eurytomidae	40
FMNH	Euscorpiidae	2
UNM	Euteliidae	1
iNaturalist	Eutichuridae	1
OSU	Evaniidae	10
OMNH	Fasciolariidae	2
OSU	Figitidae	33
DMNS	Filistatidae	91
OMNH	Fissurellidae	1
TAMU	Flatidae	250
OSU	Forficulidae	178
ASU	Formicidae	34522
FMNH	Fuhrmannodesmidae	4
TAMU	Fulgoridae	89
MCZ	Galatheidae	4
MCZ	Galumnidae	4
MCZ	Garypidae	6
MCZ	Gecarcinidae	44
NMSU	Gelastocoridae	210
MOD_DMNS	Gelechiidae	31
TAMU	Geocoridae	96
UNM	Geometridae	855
FMNH	Geophilidae	14
UNM	Geophilomorpha	1
TAMU	Geotrupidae	100
NMSU	Gerridae	1151
TAMU	Glaresidae	7
FMNH	Glomeridae	10
FMNH	Glomeridesmidae	9
KU	Glossosomatidae	160
USNM	Glyphipterigidae	1
MCZ	Glyphocrangonidae	7
NMSU	Gnaphosidae	195
USNM	Gnathiidae	7
USNM	Gnathophyllidae	11
MCZ	Gobiesocidae	1
TTU	Gomphidae	400
USNM	Goneplacidae	4
MCZ	Gonodactylidae	116
MCZ	Gosibiidae	36
iNaturalist	Gracillariidae	2
MCZ	Grapsidae	43
TTU	Gryllacrididae	1
NMSU	Gryllidae	166
TAMU	Gryllotalpidae	12
NAUF	Gyrinidae	549
TTU	Gyropidae	1
USNM	Hadziidae	2
FMNH	Hahniidae	69
NMSU	Halictidae	15775
OMNH	Haliotididae	2
NMSU	Haliplidae	62
USNM	Halocyprididae	10
USNM	Harpacticidae	1
USNM	Hatschekiidae	1
AMNH	Hebridae	16
YPM	Hedylidae	3
UNM	Heleomyzidae	4
INHS	Helicophidae	6
KU	Helicopsychidae	192
MOD_DMNS	Heliodinidae	45
NMSU	Helophoridae	40
OSU	Hemerobiidae	6
USNM	Hemerophilidae	1
USNM	Hemicytheridae	4
USNM	Hemisquillidae	2
FMNH	Henicopidae	3
ASU	Hepialidae	13
PU	Heptageniidae	1
USNM	Heptapsogasteridae	25
DMNS	Hersiliidae	32
DMNS	Hesperiidae	5597
USNM	Heteralepadidae	1
BYU	Heteroceridae	452
UNM	Heteronemiidae	2
TTU	Heterorhabdidae	24
UAM	Heterothripidae	12
USNM	Hexapodidae	1
FMNH	Himantariidae	8
MCZ	Hippidae	26
MCZ	Hippoboscidae	4
MCZ	Hippolytidae	83
OMNH	Hipponicidae	1
NMSU	Histeridae	614
FMNH	Holistophallidae	7
USNM	Holognathidae	1
MCZ	Homalonychidae	28
USNM	Homolidae	5
USNM	Homolodromiidae	3
EMEC	Hoplopleuridae	3
MCZ	Hubbardiidae	4
USNM	Hyalellidae	11
TAMU	Hybosoridae	83
OSU	Hydraenidae	43
KU	Hydrobiosidae	218
KU	Hydrochidae	14
NMSU	Hydrometridae	70
NMSU	Hydrophilidae	2142
FMNH	Hydropsychidae	730
FMNH	Hydroptilidae	76
TTU	Hymenolepididae	7
USNM	Hyperiidae	6
INHS	Hypogastruridae	29
USNM	Hystrichopsyllidae	13
OSU	Ichneumonidae	503
MCZ	Ideoroncidae	7
USNM	Idoteidae	20
iNaturalist	Inachidae	1
MCZ	Inocelliidae	1
EMEC	Insertae sedis	7
USNM	Isaeidae	1
MSU	Ischnopsyllidae	6
USNM	Ischyroceridae	5
INHS	Isotomidae	69
TAMU	Issidae	393
DMNS	Iuridae	19
MCZ	Ixodidae	51
USNM	Janiridae	2
MCZ	Japygidae	12
USNM	Joeropsididae	2
MCZ	Julidae	1
UA	Kalotermitidae	71
KU	Kateretidae	3
CSCA	Kermesidae	2
USNM	Kerriidae	3
TAMU	Kinnaridae	30
iNaturalist	Labiduridae	10
UNM	Labiidae	5
MCZ	Laelaptidae	2
KU	Laemophloeidae	96
MCZ	Lagriidae	2
USNM	Laminosioptidae	1
USNM	Lamippidae	1
OSU	Lampyridae	244
USNM	Lanceolidae	8
UTC	Languriidae	64
USNM	Laomediidae	5
NMSU	Largidae	275
YPM	Lasiocampidae	38
AMNH	Lasiochilidae	1
KU	Latridiidae	135
UNM	Lauxaniidae	5
CSCA	Lecanodiaspididae	2
USNM	Leguminocythereididae	1
TTU	Leiodidae	1167
EMEC	Leoididae	1
iNaturalist	Lepadidae	16
USNM	Lepidomysidae	12
UMNH	Lepidoptera	2
KU	Lepidostomatidae	71
iNaturalist	Lepismatidae	8
USNM	Leptanthuridae	2
MCZ	Leptestheriidae	5
USNM	Lepthanthuridae	1
FMNH	Leptoceridae	325
USNM	Leptocheliidae	4
PU	Leptohyphidae	7
MCZ	Leptonetidae	4
PU	Leptophlebiidae	20
USNM	Lernaeopodidae	4
USNM	Lernanthropidae	13
YPM	Lestidae	309
USNM	Lestrigonidae	5
MCZ	Leucosiidae	18
KU	Leucospidae	6
USNM	Leucothoidae	2
TTU	Libellulidae	3522
UMNH	Libytheidae	2
USNM	Lichomolgidae	3
MCZ	Ligiidae	24
USNM	Liljeborgiidae	6
FMNH	Limacodidae	21
USNM	Limnadiidae	9
INHS	Limnephilidae	23
KU	Limnichidae	95
USNM	Limnoriidae	3
USNM	Limoniidae	189
iNaturalist	Limulidae	20
MCZ	Linotaeniidae	1
DMNS	Linyphiidae	356
FMNH	Liocranidae	11
UNM	Lithobiidae	35
UNM	Lithobiomorpha	1
MCZ	Lithodidae	10
iNaturalist	Liturgusidae	1
EMEC	Liviidae	9
USNM	Lonchaeidae	1
USNM	Longipediidae	5
USNM	Lophogastridae	10
UHIM	Loreidae	1
OMNH	Lottiidae	2
USNM	Loxoconchidae	1
USNM	Lubbockiidae	4
TAMU	Lucanidae	2
USNM	Lucicutiidae	2
USNM	Luciferidae	1
MCZ	Lutjanidae	1
OMNH	Lutrochidae	52
USNM	Lycaeidae	6
NMSU	Lycaenidae	1469
NMSU	Lycidae	135
NMSU	Lycosidae	234
MCZ	Lyctidae	1
NMSU	Lygaeidae	3624
FMNH	Lymantriidae	4
TTU	Lymexylonidae	1
USNM	Lynceidae	8
NULL	Lyonetiidae	34
USNM	Lysianassidae	15
MCZ	Lysiosquillidae	10
MCZ	Macrochelidae	2
USNM	Macrochironidae	1
USNM	Macrocyprididae	3
USNM	Macromiidae	2
OMNH	Mactridae	1
USNM	Maeridae	10
MCZ	Majidae	140
UNM	Mantidae	103
OSU	Mantispidae	115
CLEV	Mantoididae	9
CSCA	Margarodidae	11
MCZ	Mecistocephalidae	1
ASU	Megachilidae	5157
MSU	Megagopygidae	1
KU	Megalopodidae	3
FMNH	Megalopygidae	17
EMEC	Megapodagrionidae	238
OSU	Megaspilidae	1
