cnt	max(occid)	catalogNumber
3	32421449	09BBNEU-0166
3	32421450	09BBNEU-0167
3	32422021	09BBNEU-0169
3	32422022	09BBNEU-0170
3	32421371	09BBNEU-0171
3	32422163	09BBNEU-0172
3	32422164	09BBNEU-0173
3	32422165	09BBNEU-0174
3	32280819	09BBPSO-053
3	32421814	09BBPSO-059
3	32421815	09BBPSO-060
3	27835836	1019-SIPHO
3	27835837	1020-SIPHO
3	27835838	1021-SIPHO
3	27835842	1025-SIPHO
3	32313941	10BBCFO-0021
3	32313317	10BBCFO-0022
3	32313942	10BBCFO-0024
3	32313943	10BBCFO-0025
3	32313857	10BBCFO-0033
3	32311362	10BBCFO-0034
3	32313944	10BBCFO-0038
3	32313945	10BBCFO-0041
3	32313946	10BBCFO-0042
3	32313947	10BBCFO-0055
3	32311363	10BBCFO-0056
3	32313948	10BBCFO-0062
3	32313720	10BBCFO-0063
3	32313949	10BBCFO-0065
3	32311101	10BBCFO-0066
3	32313488	10BBCFO-0067
3	32311772	10BBCFO-0068
3	32311364	10BBCFO-0069
3	32312651	10BBCFO-0070
3	32312705	10BBCFO-0071
3	32474242	10BBCFO-0072
3	32313298	10BBCFO-0073
3	32311773	10BBCFO-0074
3	32312613	10BBCFO-0075
3	32311774	10BBCFO-0076
3	32316051	10BBCFO-0077
3	32312652	10BBCFO-0078
3	32312653	10BBCFO-0079
3	32316052	10BBCFO-0080
3	32312007	10BBCFO-0081
3	32311775	10BBCFO-0082
3	32311531	10BBCFO-0084
3	32313858	10BBCFO-0085
3	32311658	10BBCFO-0086
3	32311659	10BBCFO-0087
3	32316053	10BBCFO-0088
3	32311660	10BBCFO-0089
3	32311661	10BBCFO-0090
3	32316054	10BBCFO-0091
3	32312654	10BBCFO-0092
3	32310639	10BBCFO-0093
3	32311776	10BBCFO-0094
3	32311365	10BBCFO-0095
3	32474243	10BBCFO-0096
3	32316055	10BBCFO-0097
3	32311777	10BBCFO-0098
3	32311340	10BBCFO-0099
3	32316056	10BBCFO-0100
3	32311778	10BBCFO-0101
3	32313950	10BBCFO-0102
3	32313951	10BBCFO-0103
3	32311662	10BBCFO-0104
3	32312581	10BBCFO-0106
3	32312669	10BBCFO-0107
3	32313311	10BBCFO-0109
3	32311041	10BBCFO-0110
3	32311663	10BBCFO-0111
3	32313952	10BBCFO-0112
3	32311820	10BBCFO-0113
3	32311102	10BBCFO-0114
3	32312655	10BBCFO-0116
3	32312008	10BBCFO-0118
3	32313489	10BBCFO-0119
3	32311664	10BBCFO-0120
3	32311779	10BBCFO-0121
3	32313185	10BBCFO-0122
3	32312009	10BBCFO-0123
3	32312010	10BBCFO-0125
3	32313490	10BBCFO-0126
3	32313491	10BBCFO-0127
3	32313299	10BBCFO-0128
3	32313953	10BBCFO-0130
3	32312582	10BBCFO-0131
3	32313492	10BBCFO-0132
3	32313721	10BBCFO-0133
3	32316058	10BBCFO-0135
3	32311104	10BBCFO-0136
3	32313493	10BBCFO-0137
3	32310640	10BBCFO-0138
3	32312656	10BBCFO-0139
3	32316059	10BBCFO-0140
3	32311780	10BBCFO-0141
3	32316060	10BBCFO-0142
3	32316061	10BBCFO-0143
3	32311781	10BBCFO-0144
3	32316062	10BBCFO-0145
3	32313186	10BBCFO-0146
3	32313701	10BBCFO-0147
3	32310641	10BBCFO-0148
3	32312706	10BBCFO-0149
3	32311782	10BBCFO-0150
3	32311366	10BBCFO-0151
3	32310642	10BBCFO-0152
3	32310643	10BBCFO-0153
3	32312011	10BBCFO-0154
