cnt	max(occid)	catalogNumber
3	32278151	BIOUG03516-A04
3	32272560	BIOUG03516-A05
3	32262240	BIOUG03516-A06
3	32274311	BIOUG03516-A07
3	32278152	BIOUG03516-A08
3	32261659	BIOUG03516-A09
3	32262241	BIOUG03516-A10
3	32274312	BIOUG03516-A11
3	32261466	BIOUG03516-A12
3	32260325	BIOUG03516-B01
3	32272562	BIOUG03516-B03
3	32272563	BIOUG03516-B05
3	32260326	BIOUG03516-B06
3	32272564	BIOUG03516-B07
3	32272565	BIOUG03516-B09
3	32272566	BIOUG03516-B11
3	32261467	BIOUG03516-B12
3	32272567	BIOUG03516-C01
3	32274313	BIOUG03516-C03
3	32261468	BIOUG03516-C04
3	32266603	BIOUG03516-C05
3	32278153	BIOUG03516-C06
3	32272568	BIOUG03516-C07
3	32261469	BIOUG03516-C08
3	32248779	BIOUG03516-C10
3	32248780	BIOUG03516-C11
3	32261470	BIOUG03516-D01
3	32260328	BIOUG03516-D02
3	32261660	BIOUG03516-D03
3	32261066	BIOUG03516-D04
3	32274314	BIOUG03516-D05
3	32274315	BIOUG03516-D06
3	32262242	BIOUG03516-D07
3	32274316	BIOUG03516-D09
3	32274317	BIOUG03516-D11
3	32260330	BIOUG03516-D12
3	32261471	BIOUG03516-E01
3	32266380	BIOUG03516-E03
3	32272569	BIOUG03516-E06
3	32272570	BIOUG03516-E07
3	32272571	BIOUG03516-E08
3	32262629	BIOUG03516-E09
3	32261067	BIOUG03516-E11
3	32272572	BIOUG03516-E12
3	32274318	BIOUG03516-F02
3	32274319	BIOUG03516-F03
3	32274320	BIOUG03516-F04
3	32272573	BIOUG03516-F06
3	32262243	BIOUG03516-F07
3	32261661	BIOUG03516-F09
3	32250144	BIOUG03516-F11
3	32278154	BIOUG03516-F12
3	32261472	BIOUG03516-G02
3	32260331	BIOUG03516-G03
3	32272574	BIOUG03516-G04
3	32261068	BIOUG03516-G08
3	32272575	BIOUG03516-G10
3	32278156	BIOUG03516-G11
3	32261473	BIOUG03516-G12
3	32261474	BIOUG03516-H01
3	32262245	BIOUG03516-H02
3	32248781	BIOUG03516-H04
3	32248783	BIOUG03516-H07
3	32275521	BIOUG03516-H11
3	32366660	BIOUG03517-A01
3	32282598	BIOUG03517-A03
3	32351853	BIOUG03517-A04
3	32351854	BIOUG03517-A06
3	32366661	BIOUG03517-B02
3	32308456	BIOUG03517-B03
3	32366662	BIOUG03517-B04
3	32308457	BIOUG03517-B05
3	32351856	BIOUG03517-B06
3	32373342	BIOUG03517-B08
3	32308458	BIOUG03517-B10
3	32351857	BIOUG03517-B12
3	32373343	BIOUG03517-C02
3	32313330	BIOUG03517-C03
3	32306770	BIOUG03517-C04
3	32351858	BIOUG03517-C05
3	32308459	BIOUG03517-C08
3	32351859	BIOUG03517-C10
3	32351860	BIOUG03517-C11
3	32366663	BIOUG03517-C12
3	32351861	BIOUG03517-D03
3	32351862	BIOUG03517-D05
3	32351863	BIOUG03517-D08
3	32351864	BIOUG03517-D09
3	32282599	BIOUG03517-E01
3	32351865	BIOUG03517-E02
3	32366665	BIOUG03517-E03
3	32303941	BIOUG03517-E05
3	32351866	BIOUG03517-E07
3	32351868	BIOUG03517-E11
3	32282600	BIOUG03517-E12
3	32366666	BIOUG03517-F04
3	32308460	BIOUG03517-F07
3	32351869	BIOUG03517-F08
3	32373345	BIOUG03517-F10
3	32351870	BIOUG03517-F11
3	32366667	BIOUG03517-G03
3	32366668	BIOUG03517-G04
3	32308461	BIOUG03517-G05
3	32351874	BIOUG03517-G09
3	32351875	BIOUG03517-G10
3	32351876	BIOUG03517-H01
3	32366669	BIOUG03517-H08
3	32282601	BIOUG03517-H10
3	32201475	BIOUG03520-A01
3	32185461	BIOUG03520-A02
3	32185462	BIOUG03520-A03
3	32188439	BIOUG03520-A04
3	32187135	BIOUG03520-A05
3	32184744	BIOUG03520-A06
3	32198282	BIOUG03520-A08
3	32198283	BIOUG03520-A09
3	32185463	BIOUG03520-A10
3	32185722	BIOUG03520-A11
3	32185723	BIOUG03520-A12
3	32185620	BIOUG03520-B01
3	32198284	BIOUG03520-B02
3	32185621	BIOUG03520-B04
3	32199736	BIOUG03520-B05
3	32199737	BIOUG03520-B06
3	32201529	BIOUG03520-B08
3	32201530	BIOUG03520-B09
3	32201531	BIOUG03520-B10
3	32201532	BIOUG03520-B11
3	32201533	BIOUG03520-B12
3	32201534	BIOUG03520-C02
3	32201535	BIOUG03520-C04
3	32201536	BIOUG03520-C05
3	32201537	BIOUG03520-C06
3	32201538	BIOUG03520-C08
3	32201539	BIOUG03520-C09
3	32201540	BIOUG03520-C11
3	32201541	BIOUG03520-C12
3	32201542	BIOUG03520-D01
3	32201543	BIOUG03520-D02
3	32199738	BIOUG03520-D03
3	32201544	BIOUG03520-D04
3	32201545	BIOUG03520-D05
3	32187273	BIOUG03520-D07
3	32190740	BIOUG03520-E01
3	32185455	BIOUG03520-E02
3	32185453	BIOUG03520-E04
3	32185454	BIOUG03520-E05
3	32200432	BIOUG03520-E06
3	32196398	BIOUG03520-E07
3	32197758	BIOUG03520-E08
3	32196762	BIOUG03520-E09
3	32186985	BIOUG03520-E10
3	32198732	BIOUG03520-E11
3	32188367	BIOUG03520-E12
3	32187251	BIOUG03520-F02
3	32196984	BIOUG03520-F03
3	32423992	BIOUG03520-F04
3	32423993	BIOUG03520-F06
3	32199494	BIOUG03520-F07
3	32199495	BIOUG03520-F08
3	32199496	BIOUG03520-F09
3	32423994	BIOUG03520-F10
3	32187253	BIOUG03520-F11
3	32186754	BIOUG03520-F12
3	32186758	BIOUG03520-G01
3	32186759	BIOUG03520-G02
3	32185613	BIOUG03520-G03
3	32192694	BIOUG03520-G04
3	32186873	BIOUG03520-G05
3	32186760	BIOUG03520-G06
3	32186761	BIOUG03520-G07
3	32190345	BIOUG03520-G08
3	32186874	BIOUG03520-G09
3	32195334	BIOUG03520-G10
3	32186762	BIOUG03520-G12
3	32186763	BIOUG03520-H01
3	32195335	BIOUG03520-H02
3	32186764	BIOUG03520-H03
3	32423715	BIOUG03520-H04
3	32192695	BIOUG03520-H05
3	32192697	BIOUG03520-H06
3	32423716	BIOUG03520-H07
3	32192698	BIOUG03520-H08
3	32192699	BIOUG03520-H09
3	32185713	BIOUG03520-H10
3	32184254	BIOUG03520-H11
3	32229098	BIOUG03521-A02
3	32221929	BIOUG03521-A03
3	32210029	BIOUG03521-A04
3	32227537	BIOUG03521-A06
3	32207027	BIOUG03521-A09
3	32227526	BIOUG03521-A10
3	32230850	BIOUG03521-B01
3	32227362	BIOUG03521-B02
3	32204216	BIOUG03521-B03
3	32227527	BIOUG03521-B04
3	32227655	BIOUG03521-B07
3	32230852	BIOUG03521-B08
3	32227656	BIOUG03521-B09
3	32229956	BIOUG03521-B12
3	32227657	BIOUG03521-C02
3	32229957	BIOUG03521-C03
3	32227658	BIOUG03521-C04
3	32229958	BIOUG03521-C05
3	32230853	BIOUG03521-C06
3	32227659	BIOUG03521-C07
3	32230854	BIOUG03521-C08
3	32223669	BIOUG03521-C09
3	32227660	BIOUG03521-C10
3	32227661	BIOUG03521-C11
3	32223670	BIOUG03521-C12
3	32229959	BIOUG03521-D02
3	32227662	BIOUG03521-D03
3	32223671	BIOUG03521-D04
3	32230855	BIOUG03521-D05
3	32227663	BIOUG03521-D06
3	32227664	BIOUG03521-D07
3	32230856	BIOUG03521-D08
3	32227665	BIOUG03521-D09
3	32230857	BIOUG03521-D10
3	32230858	BIOUG03521-D11
3	32230859	BIOUG03521-D12
3	32230860	BIOUG03521-E01
3	32229960	BIOUG03521-E02
3	32227297	BIOUG03521-E04
3	32229099	BIOUG03521-E05
3	32227298	BIOUG03521-E06
3	32223239	BIOUG03521-E07
3	32221689	BIOUG03521-E08
3	32221724	BIOUG03521-E09
3	32221725	BIOUG03521-E10
3	32224054	BIOUG03521-E11
3	32224177	BIOUG03521-E12
3	32221714	BIOUG03521-F01
3	32224178	BIOUG03521-F02
3	32230863	BIOUG03521-F03
3	32229923	BIOUG03521-F05
3	32228910	BIOUG03521-F06
3	32228911	BIOUG03521-F07
3	32223672	BIOUG03521-F08
3	32223240	BIOUG03521-F10
3	32230864	BIOUG03521-F11
3	32230865	BIOUG03521-G01
3	32223673	BIOUG03521-G02
3	32229100	BIOUG03521-G03
3	32223241	BIOUG03521-G04
3	32228846	BIOUG03521-G05
3	32227321	BIOUG03521-G07
3	32230866	BIOUG03521-G09
3	32230867	BIOUG03521-G10
3	32227508	BIOUG03521-G11
3	32223242	BIOUG03521-G12
3	32223243	BIOUG03521-H01
3	32223674	BIOUG03521-H02
3	32223244	BIOUG03521-H04
3	32211235	BIOUG03521-H06
3	32229924	BIOUG03521-H08
3	32223676	BIOUG03521-H09
3	32230868	BIOUG03521-H10
3	32211546	BIOUG03521-H11
3	32421796	BIOUG03522-A06
3	32421797	BIOUG03522-A07
3	32421798	BIOUG03522-A08
3	32421799	BIOUG03522-A09
3	32421800	BIOUG03522-A10
3	32421801	BIOUG03522-A11
3	32421802	BIOUG03522-A12
3	32421803	BIOUG03522-B01
3	32421804	BIOUG03522-B02
3	32421805	BIOUG03522-B03
3	32421806	BIOUG03522-B09
3	32433149	BIOUG03522-C07
3	32422128	BIOUG03522-C11
3	32433150	BIOUG03522-D04
3	32208064	BIOUG03522-E01
3	32208065	BIOUG03522-E03
3	32433151	BIOUG03522-E10
3	32433152	BIOUG03522-F01
3	32279606	BIOUG03523-A01
3	32259219	BIOUG03523-A02
3	32259220	BIOUG03523-A03
3	32273338	BIOUG03523-A04
3	32273339	BIOUG03523-A06
3	32273340	BIOUG03523-A07
3	32259221	BIOUG03523-A08
3	32421794	BIOUG03523-A09
3	32421795	BIOUG03523-A10
3	32249914	BIOUG03523-A11
3	32259222	BIOUG03523-A12
3	32249915	BIOUG03523-B01
3	32249881	BIOUG03523-B03
3	32273341	BIOUG03523-B04
3	32273342	BIOUG03523-B06
3	32249916	BIOUG03523-B08
3	32264322	BIOUG03523-B09
3	32264323	BIOUG03523-B10
3	32256506	BIOUG03523-C01
3	32259223	BIOUG03523-C02
3	32256507	BIOUG03523-C03
3	32256508	BIOUG03523-C04
3	32264324	BIOUG03523-C05
3	32273343	BIOUG03523-C06
3	32280790	BIOUG03523-C07
3	32259224	BIOUG03523-C12
3	32264261	BIOUG03523-D01
3	32256510	BIOUG03523-D02
3	32273344	BIOUG03523-D03
3	32264262	BIOUG03523-D04
3	32273345	BIOUG03523-D05
3	32264325	BIOUG03523-D06
3	32259225	BIOUG03523-D08
3	32256511	BIOUG03523-D09
3	32259226	BIOUG03523-D10
3	32259227	BIOUG03523-D11
3	32256512	BIOUG03523-D12
3	32264263	BIOUG03523-E01
3	32264326	BIOUG03523-E02
3	32259228	BIOUG03523-E03
3	32276435	BIOUG03523-E04
3	32249917	BIOUG03523-E05
3	32264264	BIOUG03523-E06
3	32264381	BIOUG03523-E07
3	32273346	BIOUG03523-E08
3	32273347	BIOUG03523-E09
3	32264327	BIOUG03523-E10
3	32264328	BIOUG03523-E11
3	32263469	BIOUG03523-E12
3	32253415	BIOUG03523-F01
3	32259229	BIOUG03523-F02
3	32273348	BIOUG03523-F03
3	32273349	BIOUG03523-F05
3	32273350	BIOUG03523-F06
3	32280791	BIOUG03523-F08
3	32256513	BIOUG03523-F09
3	32280792	BIOUG03523-F10
3	32256514	BIOUG03523-F11
3	32280793	BIOUG03523-F12
3	32256515	BIOUG03523-G01
3	32280794	BIOUG03523-G02
3	32259230	BIOUG03523-G03
3	32259231	BIOUG03523-G04
3	32264329	BIOUG03523-G07
3	32256516	BIOUG03523-G08
3	32281264	BIOUG03523-G10
3	32280795	BIOUG03523-G11
3	32259232	BIOUG03523-G12
3	32264330	BIOUG03523-H01
3	32264265	BIOUG03523-H02
3	32264266	BIOUG03523-H03
3	32264267	BIOUG03523-H04
3	32256517	BIOUG03523-H05
3	32256518	BIOUG03523-H06
3	32259233	BIOUG03523-H07
3	32264268	BIOUG03523-H08
3	32264269	BIOUG03523-H09
3	32254207	BIOUG03523-H11
3	32188304	BIOUG03525-A02
3	32188544	BIOUG03525-A03
3	32201100	BIOUG03525-A04
3	32201101	BIOUG03525-A05
3	32201102	BIOUG03525-A06
3	32201103	BIOUG03525-A08
3	32201104	BIOUG03525-A10
3	32197793	BIOUG03525-A11
3	32195050	BIOUG03525-A12
3	32423826	BIOUG03525-B01
3	32194307	BIOUG03525-B02
3	32201105	BIOUG03525-B03
3	32197114	BIOUG03525-B04
3	32188545	BIOUG03525-B05
3	32195051	BIOUG03525-B06
3	32195052	BIOUG03525-B07
3	32194946	BIOUG03525-B08
3	32187196	BIOUG03525-B09
3	32195053	BIOUG03525-B10
3	32188546	BIOUG03525-B12
3	32188547	BIOUG03525-C01
3	32194308	BIOUG03525-C02
3	32188548	BIOUG03525-C04
3	32197115	BIOUG03525-C06
3	32187593	BIOUG03525-C07
3	32185160	BIOUG03525-C08
3	32187594	BIOUG03525-C09
3	32199835	BIOUG03525-C11
3	32197116	BIOUG03525-D01
3	32201106	BIOUG03525-D02
3	32201107	BIOUG03525-D03
3	32201108	BIOUG03525-D04
3	32201109	BIOUG03525-D05
3	32186900	BIOUG03525-D06
3	32199235	BIOUG03525-D07
3	32199236	BIOUG03525-D08
3	32192561	BIOUG03525-D09
3	32201449	BIOUG03525-D10
3	32185429	BIOUG03525-D11
3	32193908	BIOUG03525-D12
3	32193909	BIOUG03525-E01
3	32199237	BIOUG03525-E02
3	32191705	BIOUG03525-E03
3	32191706	BIOUG03525-E04
3	32424137	BIOUG03525-E05
3	32424138	BIOUG03525-E06
3	32424139	BIOUG03525-E07
3	32195527	BIOUG03525-E08
3	32201450	BIOUG03525-E09
3	32195528	BIOUG03525-E10
3	32195529	BIOUG03525-E11
3	32195530	BIOUG03525-E12
3	32186901	BIOUG03525-F01
3	32186902	BIOUG03525-F02
3	32186903	BIOUG03525-F03
3	32195220	BIOUG03525-F04
3	32195221	BIOUG03525-F05
3	32195531	BIOUG03525-F06
3	32195532	BIOUG03525-F07
3	32195533	BIOUG03525-F08
3	32424140	BIOUG03525-F09
3	32424141	BIOUG03525-F10
3	32201451	BIOUG03525-F11
3	32195534	BIOUG03525-F12
3	32189480	BIOUG03525-G01
3	32424142	BIOUG03525-G02
3	32194153	BIOUG03525-G03
3	32191821	BIOUG03525-G04
3	32191822	BIOUG03525-G05
3	32193910	BIOUG03525-G06
3	32191451	BIOUG03525-G07
3	32191823	BIOUG03525-G08
3	32195535	BIOUG03525-G09
3	32191824	BIOUG03525-G10
3	32189481	BIOUG03525-G11
3	32189482	BIOUG03525-G12
3	32193911	BIOUG03525-H01
3	32191707	BIOUG03525-H02
3	32194052	BIOUG03525-H03
3	32189483	BIOUG03525-H04
3	32184311	BIOUG03525-H05
3	32191825	BIOUG03525-H06
3	32189484	BIOUG03525-H07
3	32424143	BIOUG03525-H08
3	32424144	BIOUG03525-H09
3	32191826	BIOUG03525-H10
3	32191827	BIOUG03525-H11
3	32194309	BIOUG03528-A01
3	32194310	BIOUG03528-A02
3	32194311	BIOUG03528-A03
3	32194312	BIOUG03528-A04
3	32194313	BIOUG03528-A05
3	32197877	BIOUG03528-A06
3	32194314	BIOUG03528-A07
3	32194315	BIOUG03528-A08
3	32194316	BIOUG03528-A09
3	32184544	BIOUG03528-A10
3	32201446	BIOUG03528-A11
3	32184545	BIOUG03528-A12
3	32184310	BIOUG03528-B01
3	32201447	BIOUG03528-B02
3	32424136	BIOUG03528-B03
3	32201448	BIOUG03528-B04
3	32424145	BIOUG03528-C10
3	32423828	BIOUG03528-C11
3	32188633	BIOUG03528-C12
3	32423829	BIOUG03528-D02
3	32423830	BIOUG03528-D03
3	32185161	BIOUG03528-D04
3	32184314	BIOUG03528-D09
3	32421936	BIOUG03531-A03
3	32284662	BIOUG03533-A10
3	32293496	BIOUG03533-B05
3	32284663	BIOUG03533-F12
3	32352423	BIOUG03539-A02
3	32338786	BIOUG03539-A10
3	32362490	BIOUG03539-A11
3	32338787	BIOUG03539-B03
3	32292508	BIOUG03539-B04
3	32292509	BIOUG03539-B08
3	32362491	BIOUG03539-B10
3	32301670	BIOUG03539-C01
3	32362492	BIOUG03539-C09
3	32352424	BIOUG03539-C11
3	32362493	BIOUG03539-D02
3	32292510	BIOUG03539-D05
3	32292511	BIOUG03539-D06
3	32292512	BIOUG03539-D07
3	32338788	BIOUG03539-D08
3	32338789	BIOUG03539-E01
3	32338790	BIOUG03539-E02
3	32292513	BIOUG03539-E05
3	32292514	BIOUG03539-E06
3	32338791	BIOUG03539-E07
3	32362494	BIOUG03539-E09
3	32362495	BIOUG03539-E10
3	32292515	BIOUG03539-F01
3	32292516	BIOUG03539-F04
3	32292517	BIOUG03539-G07
3	32352425	BIOUG03539-G08
3	32301673	BIOUG03539-G11
3	32362496	BIOUG03539-H02
3	32362497	BIOUG03539-H07
3	32255677	BIOUG03541-A01
3	32271246	BIOUG03541-A02
3	32255678	BIOUG03541-A03
3	32255679	BIOUG03541-A04
3	32255681	BIOUG03541-A06
3	32255682	BIOUG03541-A07
3	32255683	BIOUG03541-A08
3	32255684	BIOUG03541-A09
3	32251579	BIOUG03541-A10
3	32255685	BIOUG03541-A11
3	32266211	BIOUG03541-A12
3	32255686	BIOUG03541-B01
3	32255687	BIOUG03541-B02
3	32255688	BIOUG03541-B03
3	32255689	BIOUG03541-B04
3	32275292	BIOUG03541-B05
3	32265180	BIOUG03541-B06
3	32255690	BIOUG03541-B07
3	32264182	BIOUG03541-B08
3	32264183	BIOUG03541-B09
3	32271247	BIOUG03541-B10
3	32266212	BIOUG03541-B12
3	32255691	BIOUG03541-C01
3	32251326	BIOUG03541-C02
3	32255692	BIOUG03541-C03
3	32255693	BIOUG03541-C04
3	32253159	BIOUG03541-C05
3	32255694	BIOUG03541-C06
3	32255695	BIOUG03541-C07
3	32271248	BIOUG03541-C08
3	32255696	BIOUG03541-C09
3	32255697	BIOUG03541-C10
3	32255698	BIOUG03541-C11
3	32275293	BIOUG03541-D02
3	32255699	BIOUG03541-D04
3	32275294	BIOUG03541-D05
3	32255700	BIOUG03541-D07
3	32255701	BIOUG03541-D08
3	32255702	BIOUG03541-D11
3	32255703	BIOUG03541-D12
3	32255704	BIOUG03541-E01
3	32275295	BIOUG03541-E04
3	32271249	BIOUG03541-E06
3	32253160	BIOUG03541-E08
3	32255706	BIOUG03541-E11
3	32255707	BIOUG03541-F01
3	32255708	BIOUG03541-F02
3	32255709	BIOUG03541-F03
3	32255710	BIOUG03541-F05
3	32255711	BIOUG03541-F06
3	32271251	BIOUG03541-F07
3	32255712	BIOUG03541-F09
3	32255713	BIOUG03541-F10
3	32271252	BIOUG03541-F11
3	32265181	BIOUG03541-F12
3	32255714	BIOUG03541-G01
3	32252825	BIOUG03541-G02
3	32266073	BIOUG03541-G03
3	32255715	BIOUG03541-G05
3	32255716	BIOUG03541-G06
3	32255717	BIOUG03541-G08
3	32255718	BIOUG03541-G10
3	32552823	BIOUG03541-G11
3	32255727	BIOUG03541-G12
3	32255728	BIOUG03541-H01
3	32255729	BIOUG03541-H02
3	32255730	BIOUG03541-H04
3	32253833	BIOUG03541-H05
3	32255731	BIOUG03541-H06
3	32255732	BIOUG03541-H07
3	32255733	BIOUG03541-H08
3	32255734	BIOUG03541-H09
3	32255735	BIOUG03541-H10
3	32255736	BIOUG03541-H11
3	32289159	BIOUG03542-B09
3	32332493	BIOUG03542-C08
3	32332496	BIOUG03542-C11
3	32332510	BIOUG03542-F09
3	32289170	BIOUG03542-G02
3	32324633	BIOUG03542-G11
3	32323561	BIOUG03542-H01
3	32332340	BIOUG03546-A03
3	32332342	BIOUG03546-A05
3	32332345	BIOUG03546-A10
3	32332351	BIOUG03546-C03
3	32288948	BIOUG03546-C12
3	32288952	BIOUG03546-F02
3	32332370	BIOUG03546-F05
3	32288956	BIOUG03546-G07
3	32396266	BIOUG03547-A10
3	32396267	BIOUG03547-A11
3	32396268	BIOUG03547-C09
3	32396269	BIOUG03547-D12
3	32396270	BIOUG03547-E01
3	32396271	BIOUG03547-E04
3	32332323	BIOUG03547-F09
3	32332331	BIOUG03547-H02
3	32310328	BIOUG03548-B06
3	32351992	BIOUG03548-C05
3	32295000	BIOUG03548-E02
3	32310876	BIOUG03551-A01
3	32310877	BIOUG03551-A02
3	32370559	BIOUG03551-A03
3	32338664	BIOUG03551-A04
3	32338665	BIOUG03551-A05
3	32338666	BIOUG03551-A06
3	32338667	BIOUG03551-A07
3	32338668	BIOUG03551-A08
3	32324177	BIOUG03551-A09
3	32338669	BIOUG03551-A10
3	32338670	BIOUG03551-A11
3	32323279	BIOUG03551-A12
3	32338671	BIOUG03551-B01
3	32338672	BIOUG03551-B02
3	32338673	BIOUG03551-B03
3	32338675	BIOUG03551-B04
3	32322839	BIOUG03551-B05
3	32322866	BIOUG03551-B06
3	32370621	BIOUG03551-B08
3	32338676	BIOUG03551-B09
3	32338677	BIOUG03551-B10
3	32297840	BIOUG03551-B11
3	32371393	BIOUG03551-B12
3	32338678	BIOUG03551-C01
3	32292454	BIOUG03551-C02
3	32338679	BIOUG03551-C03
3	32338680	BIOUG03551-C04
3	32292455	BIOUG03551-C05
3	32338681	BIOUG03551-C06
3	32292456	BIOUG03551-C08
3	32324546	BIOUG03551-C09
3	32338682	BIOUG03551-C12
3	32317829	BIOUG03551-D01
3	32292457	BIOUG03551-D02
3	32292458	BIOUG03551-D03
3	32338683	BIOUG03551-D04
3	32338684	BIOUG03551-D05
3	32292459	BIOUG03551-D06
3	32338685	BIOUG03551-D07
3	32292460	BIOUG03551-D08
3	32292461	BIOUG03551-D09
3	32338686	BIOUG03551-D10
3	32338793	BIOUG03551-E01
3	32338794	BIOUG03551-E02
3	32338795	BIOUG03551-E04
3	32338796	BIOUG03551-E05
3	32338797	BIOUG03551-E06
3	32292518	BIOUG03551-E07
3	32338798	BIOUG03551-E08
3	32338799	BIOUG03551-E10
3	32338800	BIOUG03551-E11
3	32338801	BIOUG03551-E12
3	32325128	BIOUG03551-F02
3	32338802	BIOUG03551-F03
3	32292519	BIOUG03551-F05
3	32292520	BIOUG03551-F06
3	32292521	BIOUG03551-F07
3	32338803	BIOUG03551-F08
3	32372262	BIOUG03551-F09
3	32292522	BIOUG03551-F10
3	32338804	BIOUG03551-F11
3	32292523	BIOUG03551-F12
3	32292524	BIOUG03551-G01
3	32338805	BIOUG03551-G02
3	32292525	BIOUG03551-G03
3	32292526	BIOUG03551-G04
3	32338806	BIOUG03551-G05
3	32292527	BIOUG03551-G06
3	32292528	BIOUG03551-G07
3	32338807	BIOUG03551-G08
3	32292529	BIOUG03551-G09
3	32292530	BIOUG03551-G10
3	32292531	BIOUG03551-G11
3	32292532	BIOUG03551-G12
3	32292533	BIOUG03551-H01
3	32338808	BIOUG03551-H07
3	32338809	BIOUG03551-H08
3	32338810	BIOUG03551-H09
3	32338811	BIOUG03551-H10
3	32338812	BIOUG03551-H11
3	32293502	BIOUG03555-B06
3	32364657	BIOUG03555-B11
3	32325685	BIOUG03555-C11
3	32293504	BIOUG03555-D01
3	32325686	BIOUG03555-D03
3	32351574	BIOUG03555-D05
3	32325687	BIOUG03555-D08
3	32325688	BIOUG03555-F03
3	32284664	BIOUG03555-F06
3	32293508	BIOUG03555-G04
3	32283899	BIOUG03555-G05
3	32364660	BIOUG03555-G11
3	32340381	BIOUG03555-H07
3	32325678	BIOUG03559-B03
3	32283898	BIOUG03559-B06
3	32364644	BIOUG03559-C02
3	32293487	BIOUG03559-C07
3	32312356	BIOUG03559-E02
3	32325679	BIOUG03559-E05
3	32312357	BIOUG03559-E07
3	32340355	BIOUG03559-E09
3	32325680	BIOUG03559-E11
3	32312358	BIOUG03559-F01
3	32312359	BIOUG03559-G06
3	32312360	BIOUG03559-G10
3	32312361	BIOUG03559-G11
3	32325681	BIOUG03559-H01
3	32325682	BIOUG03559-H04
3	32325683	BIOUG03559-H08
3	32197954	BIOUG03561-A03
3	32197103	BIOUG03561-A04
3	32187136	BIOUG03561-A08
3	32187137	BIOUG03561-B02
3	32199735	BIOUG03561-B04
3	32187138	BIOUG03561-B05
3	32185618	BIOUG03561-B08
3	32198783	BIOUG03561-B09
3	32197407	BIOUG03561-B10
3	32185724	BIOUG03561-C04
3	32200203	BIOUG03561-C05
3	32188440	BIOUG03561-C06
3	32198784	BIOUG03561-C09
3	32198785	BIOUG03561-C10
3	32200385	BIOUG03561-C12
3	32198786	BIOUG03561-D02
3	32197435	BIOUG03561-D04
3	32196220	BIOUG03561-D05
3	32198788	BIOUG03561-D06
3	32200156	BIOUG03561-D07
3	32200204	BIOUG03561-D08
3	32200502	BIOUG03561-D09
3	32200503	BIOUG03561-D10
3	32196221	BIOUG03561-D11
3	32200205	BIOUG03561-D12
3	32200504	BIOUG03561-E01
3	32185464	BIOUG03561-E02
3	32200593	BIOUG03561-E04
3	32198285	BIOUG03561-E05
3	32197997	BIOUG03561-E06
3	32199739	BIOUG03561-E07
3	32185721	BIOUG03561-E09
3	32440905	BIOUG03563-D02
3	32440906	BIOUG03563-D03
3	32420625	BIOUG03563-D04
3	32440907	BIOUG03563-D05
3	32440908	BIOUG03563-D06
3	32440909	BIOUG03563-D09
3	32440910	BIOUG03563-D10
3	32440911	BIOUG03563-D12
3	32460490	BIOUG03563-E02
3	32454688	BIOUG03563-E03
3	32454689	BIOUG03563-E05
3	32440913	BIOUG03563-E07
3	32460491	BIOUG03563-E08
3	32420626	BIOUG03563-E09
3	32440914	BIOUG03563-E10
3	32233015	BIOUG03563-E11
3	32457091	BIOUG03563-F01
3	32421417	BIOUG03563-F02
3	32233016	BIOUG03563-F03
3	32459464	BIOUG03563-F04
3	32440915	BIOUG03563-F05
3	32459434	BIOUG03563-F06
3	32421419	BIOUG03563-F07
3	32233060	BIOUG03563-F09
3	32421051	BIOUG03563-F11
3	32440920	BIOUG03563-F12
3	32440921	BIOUG03563-G01
3	32457093	BIOUG03563-G03
3	32440922	BIOUG03563-G05
3	32440923	BIOUG03563-G09
3	32440924	BIOUG03563-G11
3	32274321	BIOUG03564-A01
3	32248784	BIOUG03564-A04
3	32253390	BIOUG03564-A10
3	32253391	BIOUG03564-A11
3	32248785	BIOUG03564-A12
3	32248786	BIOUG03564-B08
3	32552844	BIOUG03564-C04
3	32261669	BIOUG03564-C05
3	32262635	BIOUG03564-C06
3	32262249	BIOUG03564-C07
3	32272610	BIOUG03564-C08
3	32272611	BIOUG03564-C09
3	32261670	BIOUG03564-C12
3	32262924	BIOUG03564-D01
3	32261671	BIOUG03564-D02
3	32262250	BIOUG03564-D04
3	32261672	BIOUG03564-D05
3	32272612	BIOUG03564-D06
3	32280366	BIOUG03564-D07
3	32261673	BIOUG03564-D08
3	32261483	BIOUG03564-D09
3	32261674	BIOUG03564-D10
3	32272613	BIOUG03564-D11
3	32261072	BIOUG03564-D12
3	32272614	BIOUG03564-E01
3	32272615	BIOUG03564-E02
3	32272616	BIOUG03564-E04
3	32272617	BIOUG03564-E05
3	32261484	BIOUG03564-E06
3	32261675	BIOUG03564-E07
3	32272618	BIOUG03564-E08
3	32261485	BIOUG03564-E09
3	32272619	BIOUG03564-E10
3	32272620	BIOUG03564-E12
3	32272621	BIOUG03564-F01
3	32272622	BIOUG03564-F02
3	32261074	BIOUG03564-F03
3	32261677	BIOUG03564-F04
3	32261075	BIOUG03564-F06
3	32262928	BIOUG03564-F07
3	32262929	BIOUG03564-F08
3	32261486	BIOUG03564-F09
3	32262251	BIOUG03564-F11
3	32253395	BIOUG03564-F12
3	32262636	BIOUG03564-G02
3	32261487	BIOUG03564-G03
3	32262252	BIOUG03564-G04
3	32272624	BIOUG03564-G05
3	32262930	BIOUG03564-G06
3	32261488	BIOUG03564-G07
3	32262637	BIOUG03564-G08
