InstitutionCode	family	count(*)
FMNH	Apidae	261
iNaturalist	Apidae	499
INHS	Apidae	3545
KU	Apidae	22383
MCZ	Apidae	4
MSU	Apidae	78
NEMU	Apidae	3
NMSU	Apidae	4
OSU	Apidae	186
RUAC	Apidae	87
TAMU	Apidae	578
TTU	Apidae	3
UCD	Apidae	346
UFMG	Apidae	3
UMNH	Apidae	2
UNM	Apidae	160
USNM	Apidae	382
YPM	Apidae	132
FMNH	Apioceridae	2
INHS	Apioceridae	16
NMSU	Apioceridae	8
TTU	Apioceridae	23
UNM	Apioceridae	10
USNM	Apioceridae	38
MCZ	Apionidae	18
NAUF	Apionidae	4
USNM	Apionidae	1
USNM	Apseudidae	2
AMNH	Aradidae	86
ASU	Aradidae	5
EMEC	Aradidae	5
KU	Aradidae	2
NCSU	Aradidae	12
USNM	Aradidae	11
DMNS	Araneidae	30
EM	Araneidae	1
FMNH	Araneidae	14
IBUNAM	Araneidae	820
iNaturalist	Araneidae	1395
MACN	Araneidae	1
MADUG	Araneidae	1
MCZ	Araneidae	223
MHNCM	Araneidae	1
NMSU	Araneidae	1
Royal Belgian Institute of natural Sciences	Araneidae	3
SMF	Araneidae	5
UNM	Araneidae	9
USNM	Araneidae	1
USNM	Archaeobalanidae	4
MCZ	Archaeocrypticidae	1
KU	Archeocrypticidae	526
TAMU	Archeocrypticidae	3
FMNH	Arctiidae	129
MSU	Arctiidae	87
UMNH	Arctiidae	1
UNM	Arctiidae	7
USNM	Arctiidae	178
USNM	Arcturidae	2
BYU	Argasidae	1
EMEC	Argasidae	1
INHS	Argasidae	1
INHS	Argidae	178
MSU	Argidae	6
OSU	Argidae	44
USNM	Argidae	21
MCZ	Argulidae	1
USNM	Argulidae	3
USNM	Aristeidae	23
USNM	Armadillidae	9
iNaturalist	Armadillidiidae	36
UNM	Armadillidiidae	2
USNM	Armadillidiidae	5
USNM	Artemiidae	2
iNaturalist	Ascalaphidae	3
NMSU	Ascalaphidae	1
USNM	Ascalaphidae	12
TTU	Ascarididae	3
USNM	Ascidicolidae	1
USNM	Asellidae	13
EMEC	Asilidae	7
FMNH	Asilidae	9
iNaturalist	Asilidae	9
INHS	Asilidae	14
MCZ	Asilidae	8
NMSU	Asilidae	277
OSU	Asilidae	24
UNM	Asilidae	59
USNM	Asilidae	110
CSCA	Asterolecaniidae	4
USNM	Asterolecaniidae	4
USNM	Atelecyclidae	5
MCZ	Atemnidae	2
MCZ	Atopetholidae	1
USNM	Atopetholidae	13
ASU	Attelabidae	1
iNaturalist	Attelabidae	2
KU	Attelabidae	3
NAUF	Attelabidae	2
USNM	Attelabidae	11
iNaturalist	Attevidae	17
MCZ	Atyidae	2
USNM	Atyidae	36
MCZ	Atypidae	1
USNM	Augaptilidae	7
EMEC	Aulacidae	3
OSU	Aulacidae	2
USNM	Aulacidae	6
USNM	Aulacigastridae	1
USNM	Autostichidae	1
MCZ	Axiidae	1
USNM	Axiidae	9
USNM	Bacillidae	1
EMEC	Baetidae	2
INHS	Baetidae	16
KU	Baetidae	12
PU	Baetidae	25
USNM	Bairdiidae	5
iNaturalist	Balanidae	1
USNM	Balanidae	88
USNM	Ballophilidae	1
USNM	Barbouriidae	2
FMNH	Barychelidae	1
MCZ	Barychelidae	2
USNM	Bateidae	9
USNM	Bathypalaemonellidae	2
USNM	Bathysquillidae	1
USNM	Batrachedridae	4
ASU	Belidae	1
AMNH	Belostomatidae	115
ANSP	Belostomatidae	2
iNaturalist	Belostomatidae	1
INHS	Belostomatidae	7
KU	Belostomatidae	963
NMSU	Belostomatidae	46
OSAC	Belostomatidae	15
UMNH	Belostomatidae	3
UNM	Belostomatidae	3
USNM	Benthesicymidae	19
USNM	Bentheuphausiidae	1
AMNH	Berytidae	59
NMSU	Berytidae	4
OSAC	Berytidae	2
TAMU	Berytidae	270
UCR	Berytidae	11
UNM	Berytidae	1
USNM	Berytidae	2
INHS	Bethylidae	8
MCZ	Bethylidae	55
MSU	Bethylidae	15
NMSU	Bethylidae	1
OSU	Bethylidae	15
USNM	Bethylidae	8
MCZ	Biantidae	25
EMEC	Bibionidae	1
OSU	Bibionidae	31
USNM	Bibionidae	3
KU	Biphyllidae	28
KU	Bittacidae	5
FMNH	Blaberidae	8
iNaturalist	Blaberidae	9
TAMU	Blaberidae	5
