scientificName	unique_geo
Acalypta Westwood, 1840	1
Acalyptus carpini	1
Acalyptus carpini Schoenherr , 1833	11
Acalyptus Sch̦nherr, 1833	1
Acamptus rigidus	1
acamtopappi	1
Acanalonia bivittata	3
Acanalonia bivittata (Say, 1825)	1
Acanalonia conica	1
Acanalonia fasciata	1
Acanalonia fasciata Metcalf	1
Acanalonia invenusta Doering	1
Acanalonia parva Doering	1
Acanalonia servillei Spinola, 1839	1
Acanalonia similis Doering	3
Acanalonia sp.	1
Acanalonia Spinola, 1839	1
Acanalonia virescens (St̴l, 1864)	1
Acanosema spp.	1
Acanthacaris caeca (A. Milne-Edwards, 1881)	2
Acanthaxius caespitosa (Squires, 1979)	1
Acanthaxius hirsutimanus (Boesch and Smalley, 1972)	1
Acanthepeira	2
Acanthepeira cherokee Levi, 1976	2
Acanthepeira marion Levi, 1976	3
Acanthepeira Marx, 1883	5
Acanthepeira stellata	12
Acanthepeira stellata (Walckenaer)	1
Acanthepeira stellata (Walckenaer, 1805)	26
Acanthepeira venusta (Banks, 1896)	4
Acanthephyra acutifrons Bate, 1888	3
Acanthephyra armata A. Milne-Edwards, 1881	1
Acanthephyra curtirostris Wood-Mason, 1891	5
Acanthephyra eximea Smith, 1884	2
Acanthephyra eximia S. I. Smith, 1884	29
Acanthephyra microphthalma Smith, 1885	3
Acanthephyra Milne Edwards, 1881	4
Acanthephyra pelagica (Risso, 1816)	123
Acanthephyra prionota Foxton, 1971	2
Acanthephyra purpurea A. Milne-Edwards, 1881	98
Acanthephyra quadrispinosa Kemp, 1939	4
Acanthephyra sibogae de Man, 1916	1
Acanthephyra smithi Kemp, 1939	1
Acantherpestes Meek & Worthen, 1868	1
Acantherus piperatus Scudder and Cockerell	3
Acanthetropis noctivaga	1
Acanthetropis normalis	1
Acanthetropis Wasbauer, 1958	1
Acanthilia intermedia (Miers, 1886)	7
Acanthinus	1
Acanthinus ornatus (Heberdey, 1937)	1
Acanthinus scitulus (LeConte, 1852)	1
Acanthobothrium	1
Acanthocarpus alexandri Stimpson, 1871	8
Acanthocephala (Metapodius) terminalis (Dallas, 1852)	1
Acanthocephala confraterna (Uhler, 1871)	2
Acanthocephala declivis (Say, 1832)	1
Acanthocephala femorata	1
Acanthocephala femorata (Fabricius, 1775)	1
Acanthocephala femoratus (Fabricius)	7
Acanthocephala femoratus Fabricius	1
Acanthocephala Laporte, 1833	1
Acanthocephala terminalis	1
Acanthocephalus terminalis	12
Acanthocinus angulosus (Casey, 1913)	1
Acanthocinus nodosus	1
Acanthocinus nodosus (Fabricius, 1775)	1
